rank,handle,rating,uncertainty,games,win_rate,activity
501–765,Mercer,7xx–14xx,163,84,38.1,last 2 weeks
501–765,Micchan,7xx–14xx,70,760,52.1,15–30 days
501–765,mikeymazko,7xx–14xx,155,75,34.7,last 2 weeks
501–765,MinorCloud9519,7xx–14xx,75,371,46.1,last 2 weeks
501–765,Mouttie,7xx–14xx,171,55,34.5,last 2 weeks
501–765,MrJumper,7xx–14xx,163,66,43.9,61–100 days
501–765,Mushu,7xx–14xx,43,1987,51.2,last 2 weeks
501–765,nicke,7xx–14xx,90,303,35.3,last 2 weeks
501–765,Nobody,7xx–14xx,120,212,45.8,last 2 weeks
501–765,NOOB_UPRISING,7xx–14xx,97,382,49.0,31–60 days
501–765,noone2021,7xx–14xx,95,379,48.0,15–30 days
501–765,Not the letter N,7xx–14xx,72,607,40.4,last 2 weeks
501–765,OIDA | onkyox,7xx–14xx,294,54,35.2,61–100 days
501–765,oLiVe007,7xx–14xx,92,265,43.8,last 2 weeks
501–765,Onkel MegaFlo,7xx–14xx,117,199,43.2,15–30 days
501–765,orangefaser,7xx–14xx,131,114,49.1,last 2 weeks
501–765,Otanès,7xx–14xx,172,60,40.0,last 2 weeks
501–765,p3stil3nc3,7xx–14xx,139,134,37.3,last 2 weeks
501–765,pab.lo,7xx–14xx,152,124,50.0,last 2 weeks
501–765,Padreweak,7xx–14xx,59,939,45.4,last 2 weeks
501–765,Pasta Mother of Life,7xx–14xx,136,143,42.0,last 2 weeks
501–765,Patrick Timsit,7xx–14xx,58,1034,46.1,last 2 weeks
501–765,Persis,7xx–14xx,47,1827,47.9,61–100 days
501–765,PetersCZ,7xx–14xx,155,108,34.3,last 2 weeks
501–765,PlanetaryWizard,7xx–14xx,156,88,39.8,last 2 weeks
501–765,player0,7xx–14xx,45,1850,58.0,last 2 weeks
501–765,Plox,7xx–14xx,136,132,43.9,last 2 weeks
501–765,Poncho,7xx–14xx,197,73,50.7,last 2 weeks
501–765,Pope Leo I.,7xx–14xx,199,155,35.5,31–60 days
501–765,Procedural,7xx–14xx,175,54,51.9,15–30 days
501–765,proxxi,7xx–14xx,166,58,37.9,last 2 weeks
501–765,Puma,7xx–14xx,179,96,49.0,15–30 days
501–765,r@lex_de,7xx–14xx,112,251,49.8,31–60 days
501–765,Ragnarok,7xx–14xx,62,887,47.0,31–60 days
501–765,raisinbran,7xx–14xx,168,111,51.4,last 2 weeks
501–765,ramrod,7xx–14xx,77,504,44.8,last 2 weeks
501–765,Red_Iffun,7xx–14xx,168,51,47.1,last 2 weeks
501–765,Rema Rema tu Bota,7xx–14xx,161,56,44.6,last 2 weeks
501–765,Rennzai,7xx–14xx,215,55,49.1,61–100 days
501–765,RetiredTurtle,7xx–14xx,34,2750,48.4,last 2 weeks
501–765,Richardovic,7xx–14xx,191,57,36.8,61–100 days
501–765,Rsert,7xx–14xx,127,229,47.6,15–30 days
501–765,Ruler,7xx–14xx,163,98,39.8,15–30 days
501–765,Rüdiger,7xx–14xx,59,748,42.8,last 2 weeks
501–765,Sage_of_Empires,7xx–14xx,124,331,42.6,last 2 weeks
501–765,Salvator,7xx–14xx,181,125,45.6,last 2 weeks
501–765,Sam,7xx–14xx,182,63,30.2,61–100 days
501–765,sbr,7xx–14xx,112,283,39.2,last 2 weeks
501–765,SeanOnAoe,7xx–14xx,72,543,38.1,61–100 days
501–765,sebastianschatzp,7xx–14xx,158,80,30.0,last 2 weeks
501–765,SebastiánPiñera,7xx–14xx,179,74,47.3,last 2 weeks
501–765,Seigneur Du Village,7xx–14xx,46,1819,43.9,last 2 weeks
501–765,Sercan,7xx–14xx,163,72,29.2,31–60 days
501–765,serkoprime,7xx–14xx,71,504,44.4,last 2 weeks
501–765,Silence,7xx–14xx,72,575,42.6,last 2 weeks
501–765,Simon,7xx–14xx,87,428,45.3,last 2 weeks
501–765,SirCross,7xx–14xx,156,96,42.7,15–30 days
501–765,Slim Shady,7xx–14xx,150,186,43.0,31–60 days
501–765,SniperSquirtle,7xx–14xx,199,75,49.3,61–100 days
501–765,South,7xx–14xx,162,120,50.8,15–30 days
501–765,Soxs,7xx–14xx,170,119,39.5,last 2 weeks
501–765,Sp Bro,7xx–14xx,274,85,38.8,61–100 days
501–765,Supernatural,7xx–14xx,96,431,39.4,last 2 weeks
501–765,Swix,7xx–14xx,115,187,42.2,last 2 weeks
501–765,Taco_man,7xx–14xx,178,196,36.2,31–60 days
501–765,TAGARL,7xx–14xx,96,362,43.1,last 2 weeks
501–765,Tchitchi,7xx–14xx,71,710,48.2,last 2 weeks
501–765,Th1Raven,7xx–14xx,171,107,41.1,last 2 weeks
501–765,The clown,7xx–14xx,56,1101,43.7,last 2 weeks
501–765,The Mercy of God,7xx–14xx,63,937,45.5,last 2 weeks
501–765,The Sinnerman,7xx–14xx,136,135,48.1,last 2 weeks
501–765,TheConkerBasher,7xx–14xx,128,172,41.9,last 2 weeks
501–765,TheEverestHeart,7xx–14xx,149,152,45.4,61–100 days
501–765,Ther_,7xx–14xx,105,222,36.5,last 2 weeks
501–765,TheStupidBotOfc,7xx–14xx,166,72,44.4,15–30 days
501–765,tiesiogsaras,7xx–14xx,141,125,47.2,last 2 weeks
501–765,Tim_Boww,7xx–14xx,201,59,37.3,15–30 days
501–765,Tk_Dael 14,7xx–14xx,127,134,38.8,last 2 weeks
501–765,TM Caesar,7xx–14xx,210,132,34.8,15–30 days
501–765,TonitasRules,7xx–14xx,202,80,26.2,last 2 weeks
501–765,tripl3,7xx–14xx,137,162,48.8,31–60 days
501–765,Tumdae,7xx–14xx,97,324,55.2,15–30 days
501–765,Villiams!,7xx–14xx,86,1267,41.4,last 2 weeks
501–765,vinniegee,7xx–14xx,174,81,45.7,61–100 days
501–765,Violet Ania,7xx–14xx,42,1964,40.5,last 2 weeks
501–765,witcherkiller,7xx–14xx,200,57,29.8,15–30 days
501–765,Wolliwup,7xx–14xx,120,226,53.5,31–60 days
501–765,wylyu,7xx–14xx,91,345,52.5,last 2 weeks
501–765,xORy,7xx–14xx,194,72,48.6,last 2 weeks
501–765,Yondaimeflash1,7xx–14xx,204,62,41.9,31–60 days
501–765,Young Monkey,7xx–14xx,163,89,41.6,31–60 days
501–765,ZaKkI,7xx–14xx,96,412,48.1,15–30 days
501–765,ZarckNogh,7xx–14xx,141,158,46.2,61–100 days
501–765,ZISI-LEE,7xx–14xx,96,335,37.9,last 2 weeks
501–765,ZizKa,7xx–14xx,196,57,52.6,15–30 days
501–765,༺Skipp༻,7xx–14xx,131,119,47.1,last 2 weeks
501–765,中东小霸王,7xx–14xx,62,932,49.5,last 2 weeks
501–765,八府巡案包龍星,7xx–14xx,212,51,33.3,61–100 days
501–765,大羊联邦总理伤羊,7xx–14xx,107,233,47.2,last 2 weeks
501–765,戮仙君,7xx–14xx,181,98,54.1,61–100 days
501–765,犹豫就会白给,7xx–14xx,140,128,48.4,last 2 weeks
501–765,玉面小飞龙,7xx–14xx,58,1366,51.5,31–60 days
501–765,苍真,7xx–14xx,75,548,46.4,last 2 weeks
501–765,菜菜5号,7xx–14xx,65,1003,40.5,last 2 weeks
501–765,野猪之星,7xx–14xx,112,217,50.7,last 2 weeks
